Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
"A_1.1.1",100,100,0,0,150,4.12,-,-,-,solstice
"A_1.1.2",100,100,0,0,150,4.16,-,-,-,solstice
"A_1.1.3",100,100,0,0,150,4.14,-,-,-,solstice
"A_1.2.1",100,99.9873,0.012658,0,150,4.11,-,-,-,solstice
"A_1.2.2",100,91.1034,8.8965,0,150,4.09,-,-,-,solstice
"A_1.2.3",100,66.8348,33.1652,0,150,3.94,-,-,-,solstice
"A_2.1",100,100,0,0,150,3.70,-,-,-,solstice
"A_2.2",100,91.098,8.90196,0,150,3.89,-,-,-,solstice
"A_2.3.1",100,99.2665,0.733506,0,150,3.86,-,-,-,solstice
"A_2.3.2",100,98.6845,1.31554,0,150,3.81,-,-,-,solstice
"A_2.3.3",100,98.0226,1.97742,0,150,3.95,-,-,-,solstice
"A_3.1",100,83.9349,16.0651,0,150,4.30,-,-,-,solstice
"A_3.2",100,83.4224,16.5776,0,150,4.23,-,-,-,solstice
